         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      919    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      112    0.001    0.000    0.001    0.000 all_util.py:54(<listcomp>)
      857    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
   443/17    0.001    0.000    0.003    0.000 pyparsing.py:1370(_parseNoCache)
     1980    0.001    0.000    0.002    0.000 __init__.py:2037(dist_factory)
      569    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     1716    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
  131/128    0.001    0.000    0.002    0.000 _make.py:1162(__repr__)
      683    0.001    0.000    0.020    0.000 op_def_library.py:269(add_op)
     1111    0.001    0.000    0.014    0.000 version.py:24(parse)
      374    0.001    0.000    0.002    0.000 __init__.py:685(add)
     1462    0.001    0.000    0.001    0.000 op_def_library.py:37(_Attr)
     1776    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:403(cached)
       45    0.001    0.000    0.007    0.000 all_util.py:86(remove_undocumented)
    733/6    0.001    0.000    0.754    0.126 {built-in method builtins.__import__}
      787    0.001    0.000    0.001    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      569    0.001    0.000    0.002    0.000 posixpath.py:152(dirname)
     3711    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
     1337    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      900    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
     5877    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      408    0.001    0.000    0.114    0.000 registry.py:45(register)
     1047    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     2884    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     1163    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2685    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      502    0.001    0.000    0.006    0.000 sre_compile.py:223(_compile_charset)
        1    0.001    0.001    0.001    0.001 test_log_pb2.py:4(<module>)
     2418    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
     3517    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      456    0.001    0.000    0.115    0.000 traceback.py:196(extract_stack)
     7010    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1732    0.001    0.000    0.007    0.000 fromnumeric.py:1933(any)
      857    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     1099    0.001    0.000    0.001    0.000 __init__.py:2605(key)
     3711    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
       98    0.001    0.000    0.001    0.000 {built-in method io.open}
      782    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     7010    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      858    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     3905    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
      748    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
     1082    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      614    0.001    0.000    0.001    0.000 parquet.py:75(_visit_piece)
      857    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     1272    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
       24    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      900    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      172    0.001    0.000    0.056    0.000 sre_compile.py:557(compile)
      244    0.001    0.000    0.068    0.000 ops.py:1786(__call__)
      236    0.001    0.000    0.001    0.000 {built-in method _warnings.warn}
      172    0.001    0.000    0.003    0.000 sre_compile.py:482(_compile_info)
      601    0.001    0.000    0.017    0.000 _decorators.py:183(__call__)
        1    0.001    0.001    0.001    0.001 descriptor_pb2.py:4(<module>)
      402    0.001    0.000    0.046    0.000 __init__.py:2005(find_on_path)
 1737/323    0.001    0.000    0.002    0.000 {built-in method builtins.repr}
      374    0.001    0.000    0.008    0.000 __init__.py:1325(safe_version)
   1406/4    0.001    0.000    0.756    0.189 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.001    0.001    0.008    0.008 machar.py:116(_do_init)
      923    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      900    0.001    0.000    0.006    0.000 pyparsing.py:1167(copy)
     1305    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1734    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     3690    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1163    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      374    0.001    0.000    0.014    0.000 __init__.py:2000(<listcomp>)
      172    0.001    0.000    0.028    0.000 sre_parse.py:844(parse)
       26    0.001    0.000    0.001    0.000 op_def_registry.py:28(register_op_list)
      374    0.001    0.000    0.001    0.000 version.py:236(__str__)
     1714    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      748    0.001    0.000    0.002    0.000 posixpath.py:119(splitext)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
      748    0.001    0.000    0.006    0.000 version.py:74(__init__)
      219    0.001    0.000    0.001    0.000 functools.py:44(update_wrapper)
     3891    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1799    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
     1338    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     2171    0.001    0.000    0.001    0.000 sre_parse.py:171(append)
      106    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       69    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      181    0.001    0.000    0.002    0.000 __init__.py:2811(insert_on)
      402    0.000    0.000    0.002    0.000 __init__.py:2023(<genexpr>)
   122/61    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 parquet.py:70(_build_nested_paths)
      374    0.000    0.000    0.016    0.000 __init__.py:1994(_by_version)
